,precision,recall,thresholds
0,0.17777777777777778,1.0,0.09727686862576168
1,0.1590909090909091,0.875,0.09789238932099503
2,0.16279069767441862,0.875,0.09963721387557847
3,0.16666666666666666,0.875,0.10179716045779659
4,0.17073170731707318,0.875,0.1056687452149936
5,0.175,0.875,0.1081925696862454
6,0.1794871794871795,0.875,0.11151802309440492
7,0.18421052631578946,0.875,0.11509945831911371
8,0.1891891891891892,0.875,0.12113200964849798
9,0.19444444444444445,0.875,0.12113449911229321
10,0.2,0.875,0.1271756435711026
11,0.20588235294117646,0.875,0.12881498484794168
12,0.21212121212121213,0.875,0.13070034000360878
13,0.21875,0.875,0.14263617468929624
14,0.22580645161290322,0.875,0.15483258180805698
15,0.23333333333333334,0.875,0.1611691597076148
16,0.2413793103448276,0.875,0.16222550897635654
17,0.25,0.875,0.16262655740082574
18,0.25925925925925924,0.875,0.17133018190346694
19,0.2692307692307692,0.875,0.19425920816951361
20,0.24,0.75,0.1986574112473331
21,0.25,0.75,0.20139778425533847
22,0.21739130434782608,0.625,0.2073763317200492
23,0.22727272727272727,0.625,0.2173257570340951
24,0.23809523809523808,0.625,0.21784236102832508
25,0.2,0.5,0.21872950281762482
26,0.15789473684210525,0.375,0.2295096389829734
27,0.16666666666666666,0.375,0.2327783314965085
28,0.11764705882352941,0.25,0.25569036091204583
29,0.125,0.25,0.2610663335083711
30,0.13333333333333333,0.25,0.2635400944606277
31,0.14285714285714285,0.25,0.2660476161033044
32,0.15384615384615385,0.25,0.27074524887700124
33,0.16666666666666666,0.25,0.28160948547204145
34,0.18181818181818182,0.25,0.2942271633407828
35,0.2,0.25,0.29840014013960203
36,0.2222222222222222,0.25,0.3395195415343013
37,0.125,0.125,0.3464582072951243
38,0.14285714285714285,0.125,0.35504525176622637
39,0.16666666666666666,0.125,0.40116102102282375
40,0.2,0.125,0.40138184066121096
41,0.25,0.125,0.47601658658090873
42,0.3333333333333333,0.125,0.5459413757076249
43,0.5,0.125,0.5735999023998407
44,1.0,0.125,0.618810467247626
45,1.0,0.0,9999.0
