,precision,recall,thresholds
0,0.09395973154362416,1.0,0.0
1,0.102803738317757,0.7857142857142857,0.002
2,0.11224489795918367,0.7857142857142857,0.004
3,0.10989010989010989,0.7142857142857143,0.006
4,0.11235955056179775,0.7142857142857143,0.008
5,0.10843373493975904,0.6428571428571429,0.01
6,0.1111111111111111,0.6428571428571429,0.012
7,0.10526315789473684,0.5714285714285714,0.014
8,0.10666666666666667,0.5714285714285714,0.016
9,0.11764705882352941,0.5714285714285714,0.018
10,0.12121212121212122,0.5714285714285714,0.02
11,0.125,0.5714285714285714,0.022
12,0.13114754098360656,0.5714285714285714,0.024
13,0.14545454545454545,0.5714285714285714,0.026
14,0.12962962962962962,0.5,0.028
15,0.12,0.42857142857142855,0.032
16,0.1276595744680851,0.42857142857142855,0.034
17,0.13333333333333333,0.42857142857142855,0.036
18,0.13636363636363635,0.42857142857142855,0.038
19,0.13953488372093023,0.42857142857142855,0.04
20,0.12195121951219512,0.35714285714285715,0.042
21,0.13157894736842105,0.35714285714285715,0.046
22,0.13513513513513514,0.35714285714285715,0.048
23,0.14285714285714285,0.35714285714285715,0.052
24,0.15151515151515152,0.35714285714285715,0.054
25,0.1724137931034483,0.35714285714285715,0.056
26,0.17857142857142858,0.35714285714285715,0.058
27,0.14814814814814814,0.2857142857142857,0.064
28,0.15384615384615385,0.2857142857142857,0.07
29,0.16666666666666666,0.2857142857142857,0.074
30,0.17391304347826086,0.2857142857142857,0.082
31,0.18181818181818182,0.2857142857142857,0.084
32,0.19047619047619047,0.2857142857142857,0.086
33,0.21052631578947367,0.2857142857142857,0.088
34,0.2222222222222222,0.2857142857142857,0.09
35,0.25,0.2857142857142857,0.092
36,0.26666666666666666,0.2857142857142857,0.094
37,0.2857142857142857,0.2857142857142857,0.108
38,0.3076923076923077,0.2857142857142857,0.114
39,0.3333333333333333,0.2857142857142857,0.124
40,0.2727272727272727,0.21428571428571427,0.13
41,0.3,0.21428571428571427,0.136
42,0.3333333333333333,0.21428571428571427,0.156
43,0.375,0.21428571428571427,0.17
44,0.42857142857142855,0.21428571428571427,0.204
45,0.3333333333333333,0.14285714285714285,0.228
46,0.4,0.14285714285714285,0.242
47,0.25,0.07142857142857142,0.262
48,0.0,0.0,0.264
49,0.0,0.0,0.46
50,0.0,0.0,0.606
51,1.0,0.0,9999.0
